Comment_Text,Perspective_Score,Regex_Status,Personal,Racial,Swearing
zlib the include files and stick them inside your exe or however that works and extract them to working directory on run Good feature to have for finished games Keeps everything to one executable when making distributions r n r nP S GameMaker and older does this by default Stupido dropped it because YoYo stinky butt poopy head,0.8355208,1,1,0,0
fuck joo bitch r n r n yyp is very differen from when you load a project into from or earlier it goes through a conversion process because of the amount of changes made to the format mainly made to compensate for the new resources methods and better support for source control ,0.90056556,1,0,0,1
The idea is that we have different SSL certs Eg one per domain r nNormally i get my certificates with certbot from letsencrypt r nFor some people it s confusing to see a certificate from a different domain on connecting to the mailserver r n r nI don t know if or how easily this could be done r nLet me know if you think this is completely stupid ,0.7104183,1,1,0,0
 View in Saber Control Panel https app saberfeedback com websites a d bceee b c aff d ad ccc feedback a b b a f a c d a d fd n n Details n n Category nOther n n Message nYou suck n n Submitted nMay n n Website nSaber Website n n URL nhttps saberfeedback com integrations n n Operating System nChrome OS n n Browser nChrome n n Browser Size n x n n User Agent nMozilla X CrOS x AppleWebKit KHTML like Gecko Chrome Safari n n n n n Browser Plugins n Chrome PDF Plugin n Chrome PDF Viewer n Native Client n Office Editing for Docs Sheets Slides n n,0.81152195,1,0,0,1
is so poorly written and overly complicated and plain ridiculous it helps no one and it is so fucking outrageous that that is what you geniuses at microsoft have given us plebs as our source for information its so sad and frustrating can you all provide us with something we CAN UNDERSTAND ON HOW TO USE OUR COMPUTERS THANK YOU FOR NOTHING,0.8606264,1,1,0,1
Converted from https github com orgs pattern lab projects r n r nhttp patternlab io docs pattern hiding html r n r n BM Use markdown instead Filesystem hacks suck ,0.7996646,1,0,0,1
I just found out how to surpass e guardian on youtube r n r n Steps to reproduce r n Go to youtube com r n Search for something random like coffee now r n Now append coffee now with a banned term such as coffee now asshole and hit enter r n r n Expected behaviour r nWhen doing step it should show the e guardian banned page r n r n Actual behaviour r nBut actually works and it shows things that it should not show and the more you scroll the more of these terms show up r n Note When you search for the same term coffee now asshole directly from the main youtube com page e guardian works as normal and shows the banned page ,0.7642517,1,0,0,1
Because after save is stupid and doesn t cover deletes ,0.794439,1,1,0,0
asdfsd i ll make it in later version n asdfsd so you can debug properly from ruby n asdfsd but obvoiusly the situation is that window is set to nil which means the code to set it isn t working properly n asdfsd which means you re potentially creating the image in a strange way that somehow skips that code n asdfsd or n Spooner Aaaaah reading tiles not image n asdfsd ah stupid of me n asdfsd yeah i didn t think about that case n Spooner OK At least I m not going mad n asdfsd see if i had made it instead of window then you could patch texplay yourself to add support for that n asdfsd but you cant do that if it s window n asdfsd stupid me n ,0.72953796,1,1,0,0
 exploitable r nOH GOD OH JEZ OH FUCK r n image https user images githubusercontent com bdb fa ea df afebe png r n r n,0.86239403,1,0,0,1
Prerequisites r n r n x Put an X between the brackets on this line if you have done all of the following r nyes yes yes gawsh So much damn reading r n r n Description r n r nAtom s regex replacement does not execute although there s matches r n r n Steps to Reproduce r n r n Make a file with a few lines that start with a digit followed by a dash i e some crap here r n Enable regex search and use in the find field and whatever you want in the replacement field r n Hit Replace All and notice NOTHING changes r n r n Expected behavior r n r nreplace all matches with whatever the replacement string is r n r n Actual behavior r n r nA whole lot of nothing behavior GIF https bugout regex ga why u no work gif r n r n Reproduces how often r n r n r n r n Versions r n r nCurrently using but this has been a bug ever since I started using atom about year ago apm is r n r nThis machine is on macOS the other is on something r n r n Additional Information r n r nYou need nothing but an atom installation with or without K plugins customization and so forth Start it with safe if it makes you feel better Heck even mv atom my precious atom crap ,0.75556386,1,1,0,0
So the TreeView always is wide enough to hold the complete horizontal text without scrolling I can see it being a pain in the ass for some people so this should be an optional setting ,0.8060606,1,0,0,1
This is a very obvious and stupid bug which somehow escaped notice but finally manifested on Android probably due to a larger audio buffer in SDL audio callback you re supposed to fill in the silence bytes when you don t have enough sound to play Failing to do so leads to garbage in the sound buffer and consequently clicking popping sounds being played after each sound ,0.7108646,1,1,0,0
Apparently github pages insists on being shit n,0.93232936,1,0,0,1
Moustache is crap n nUse something with something with conditionals and fast n n maybe include ob get contents wouldn t be a bad idea n ,0.8060606,1,1,0,0
 fuck https user images githubusercontent com ec b f db ea e ff e d gif r n,0.9354765,1,0,0,1
 nThis app is a totally fail and scam only like kind of phones are compatible nwith this app LOL Fuck you not willing anymore to use ur crap thing if you nare reading this just wanted to tell you that there s no support by the owners nsinse early so find another program if you want this kind of nfunctionality officially this page is a totally fail n n nOriginal issue reported on code google com by carlos s hotmail com on Feb at n ,0.86052614,1,1,0,1
Given that proj may now flip axes and that Shapely expects x y order I suggest adding always xy True to the pyproj examples with a note in the text This bit me on the ass while trying to reproject to gnomonic r n project pyproj Transformer from proj proj in proj out transform r n project pyproj Transformer from proj proj in proj out always xy True transform r n,0.8014349,1,0,0,1
it s a bitch to parse all the different readme formats perhaps a textarea with the source would be enough since we can all read most of the formats by site just enough to get a summary of an unfamiliar project n ,0.8437498,1,0,0,1
 r n lykos You are a traitor It is your job to help the wolves kill all the villagers and you will turn into a wolf when all of the other wolves are dead r n lykos Also if you PM me your message will be relayed to other wolves r n lykos You are cursed You will be seen by the seer and oracle as being a wolf rather than your normal role r n lykos Players gqrter wolf hexa swagiloo Mariven RyanKnack no n and fool r n lykos You are a sharpshooter and hold a gun that shoots special silver bullets You may only use it during the day by typing shoot nick in channel Wolves and the crow will die instantly when shot and anyone else will likely die as well due to your skill with the gun You have bullet r n nyuszika h myrole r n lykos You are a traitor r n lykos You are a sharpshooter and have bullet r n lykos gqrter says any suggestion r n r n r n stats does reveal it but it should probably be revealed by myrole as well ,0.72170985,1,1,0,0
