Comment_Text,Regex_Status,Perspective_Score,Personal,Racial,Swearing
No it uploads it to whatever directory you specify Read the user guide Hehe Not idiotic at all The user guide is a bit vast for everyone to know everything there is to know about CodeIgniter ,1,0.732612,1,0,0
Well that s all right then If it s only for your graduation work and not a real project it won t matter if you lose it let me think a bit hang on a minute that s actually absolute crap Lose schoolwork fail course no job in IT flipping burgers for the rest of your life Hmmm ,1,0.7333913,1,0,0
Stupidly I hadn t tried this until now and you have to add unchecked around it for it to compile but you appear to be correct I thought for sure that NET would throw an error but it doesn t,1,0.72190475,1,0,0
The answer is you don t want to work somewhere that asks stupid questions like that ,1,0.7450034,1,0,0
duh must be all that java programming in school and fail on me for not len ing stupid stupid me ,1,0.8832414,1,0,0
You should post so I can properly accept your answer sir In this particular case the stupid question had great merit ,1,0.74530405,1,0,0
Fiasco is a stupid concept brought up by that terrible website C FAQ Its not a fiasco and the comment is not even relevant in this scope as there does not seem like there would be any coupling between global variables ,1,0.794439,1,0,0
Don t listen to whoever said that they re obvisouly an idiot ,1,0.94719315,1,0,0
 for not requiring the state service See comments under marcc s post to learn of my stupidity ,1,0.8244727,1,0,0
Uh this might be a stupid question but do you have the actual public key token in your files in lieu of a bunch of hashes It s called public for a reason ,1,0.70289546,1,0,0
answer chosen for Okay cout in MSVS just sucks you re right that is the problem,1,0.7680571,0,0,1
Ho yea me stupid you are right the solution is simply to divide by the resulting alpha at the end Thanks ,1,0.86011034,1,0,0
I am indeed an idiot been staring at this for far too long thanks ,1,0.8205093,1,0,0
These questions are really quite stupid and the answers are misleading at best wrong at worst ,1,0.7684742,1,0,0
if not i will boycott these morons ,1,0.93232936,1,0,0
I notice your added comment about Trac I was using that but that was an unimaginable pain in the ass to get set up and hooked up to SVN It probably took me a day or two in all to actually get it working nicely Then I saw FOD at DevDays and,1,0.84126216,0,0,1
I ll be brutally honest Tortoise s Merge a range of revisions option is a lot stupider than the svn command line client s merge because of the behavior that happens when you leave the revision list blank ,1,0.8355208,1,0,0
I m an idiot I just clicked that link at work without even looking at the URL Good luck with your question Someone else can answer it ,1,0.7681533,1,0,0
Hello thank you very for your answer That worked I feel like an idiot after suffering for couple days on this lol Well I guess I will remember next time I m an android newb Thank you ,1,0.75072277,1,0,0
LoL so I described this little exchange to my girlfriend except due to my poor enunciation bit came out as bitch Needless to say comedy ensued ,1,0.8031465,0,0,1
 for completely broken in VS It s very hard to persuade people to join me on a code quality improvement ride when the tools make me look so stupid ,1,0.74482405,1,0,0
WTF Is this documented anywhere ,1,0.74450165,0,0,1
If I had points I d vote this down Useless link points to crap ,1,0.8264782,1,0,0
When the model is passed to the view that property returns no data I don t think this is related to MVC as much as something with C I also have the feeling it is an oh damn that was stupid answer P,1,0.8030049,1,0,0
 For information that is just wrong The latest GPUs are fully IEEE compliant AND they support integers Who votes this crap up ,1,0.8360277,1,0,0
What the hell does this have to do with Xcode As such I ve retagged your question ,1,0.7719819,1,0,0
My question is a bit stupid I solved issue in other way But your answer is very interesting useful for me ,1,0.7685035,1,0,0
i went to look at the source to help you but they use tables thats a pain in the ass to read ,1,0.88201547,0,0,1
I m not him but I might consider firing someone who was so stupid as to permit duplicate users in a user table or at least I would re educate them by making them define natural keys before surrogates I expect the prof feels the same way ,1,0.7056244,1,0,0
If you think its the language that is looking stupid keep smiling ,1,0.79972625,1,0,0
I retract that you were completely right I thought I d tried this but obviously some moronitis crept in Thanks enjoy the bounty ,1,0.768818,1,0,0
he won t learn anything here anyway just ridiculous advises like use interpolation instead of concatenation he s better to learn somewhere else,1,0.7346823,1,0,0
Kind of sucks that the author of that book dislikes Stack Exchange and calls for our failure http weblogs asp net rosherove archive why stackexchange will eventually fail control freak ism aspx,1,0.78174114,0,0,1
please indicate the reason for downvote so that others can learn what s wrong with the answer or why your downvote is silly ,1,0.7093121,1,0,0
Yes I know how to read input I wasn t trying to just put the homework up there but I first just wanted some pseudocode to get me started so I don t do it completely wrong I think I know how to work with dimensional arrays but I m not sure Yes I understand for loops I just don t understand the arrays at all I feel like a complete idiot Like you have sudoku row column ,1,0.7792544,1,0,0
you re not stupid it takes time to learn these things and at the end of the day noone is perfect and everyone makes mistakes sometimes they are stupid mistakes like typos ,1,0.794439,1,0,0
As says why not paginate A DOM that big will piss off your users ,1,0.78436536,0,0,1
Thanks I can t quite believe in retrospect that I was stupid enough to miss this But I had only had about hours sleep ,1,0.7698617,1,0,0
YEAH THanks alot carelessness crap ,1,0.8456517,1,0,0
Hey Oh how stupid of me yes the statement was wrong Thank you ,1,0.8437235,1,0,0
 tables are simply incorrect for a Relational db All these idiots modelling inheritance from an OO perspective into a Rdb are misusiing it and the power of an Rdb is lost to them They are not modelling an Rdb based on their data they are simply implementing OO structures in an Rdb ,1,0.7702655,1,0,0
It looks a bit rubbish if you do that ,1,0.74480224,1,0,0
Tell your host to not suck and update to PHP ,1,0.8014332,0,0,1
Doesn t matter You wrote it It wonders me though why everyone is writing stupid answers here Stupid question is not an excuse ,1,0.7791519,1,0,0
Well that sucks I m basing my entire project on this and now I find out I can t trust it to do what s expected of it Might have to switch to SgmlReader but I don t know if that ll be any better ,1,0.77069473,0,0,1
problem with answering from an iPhone by the time you peck out proof your answer on the stupid wide text fields someone else has done the same S O needs an iPhone version ,1,0.78074366,1,0,0
Maybe a little bit stupid answer but have you imported the correct android view View class ,1,0.82713073,1,0,0
maybe so but the vendors have all reached a consensus on this none of them are stupid enough to risk breaking existing scripts out there by disallowing the overriding of DOM properties All I m saying is that your argument doesn t really,1,0.8059982,1,0,0
Yes It s been a WHILE since I ve programmed in Java and I know it s going to be extremely stupid EDIT Oh my god Wow It needs to be a decimal doesn t it ,1,0.7516242,1,0,0
