Comment_Text,Perspective_Score,Regex_Status,Personal,Racial,Swearing
i m using bootstrap go ahead judge me i suck at css and styling stuck out tongue ,0.7686261,1,0,0,1
 gt First of all ever heard of the zero one infinity rule Second of all fuck you and your element max comparable tuples Anyway The real thing I want to discuss is how comparable is magical compiler stuff I d argue that whenever magical compiler stuff rears its head things are going to get arbitrary and stupid gt Lo and behold things get arbitrary and stupid around comparable Since it s compiler magic we mere mortals are unable to make our instances of comparable which is to say you can t use any custom data types as the key of a dictionary in Elm ,0.8845259,1,1,0,1
 gt Elm takes a very peculiar stance on libraries Libraries which don t have the blessing of Czaplicki himself allegedly aren t allowed to be published gt What The Fuck I had the same reaction when I learned that only blessed modules can now have Native code The reasoning is sound for published packages but the argument for removing it for users and developers was then they would make a third party package manager that contains native code and this is apparently a very bad thing ,0.7449346,1,0,0,1
I d argue that its more idiotmatic for a parent to pass down the neccessary state into a model through props in Vue as well at which case you re already starting to do the functional thing,0.8606264,1,1,0,0
fucking hell vim is second ,0.95409095,1,1,0,1
It s stupidly slow and ugly for development it s sort of decent if you use reflex frp with jsaddle but that s about it,0.7956256,1,1,0,0
damn it that s the only thing that really sucks google somehow lost priority on regular html support all they care about is angularDart and I don t need and like it,0.87538576,1,1,0,1
stupid helpful computer,0.84000695,1,1,0,0
if I compile it in debug mode it goes to shit I just did a production built and it works,0.7779235,1,0,0,1
Well it still sucks I don t see the caret for example It adds one line each time I press a key ,0.7203472,1,0,0,1
It displays some shitty xxxxxxx before the content,0.8785311,1,0,0,1
Js interop in reason is really swaying me but the bucklescript is ugly as hell,0.7368523,1,1,0,0
oh shit,0.95905554,1,0,0,1
and http pointfree io pointfree io or something for finding the appropriate pointfree code if you re dumb as hell and can t work it out like me ,0.7686257,1,1,0,0
holy shit you re right,0.8606264,1,0,0,1
Yeah I was stupid gt optional remarkInfo Json Decode map Just remarkInfoDecoder Nothing Is what I need,0.77647203,1,1,0,0
