Comment_Text,Perspective_Score,Regex_Status,Personal,Racial,Swearing
two Reacts can fuck up events,0.88824683,1,0,0,1
Gitter really is the biggest pile of shit ever ,0.958694,1,0,0,1
used to kick ass though,0.9130968,1,0,0,1
Oh now I see what you are saying crap n n I was only noticing the empty fields being added regardless which input I changed ,0.7000047,1,1,0,0
looks ugly,0.7093121,1,1,0,0
Today I did the tutorial and it had a lot of crap,0.77069134,1,1,0,0
i changed if to unless and it worked but am still confused as fuck,0.8785311,1,0,0,1
yeah some of the concepts are cool and can totally use method missing somewhere but not now but its something i understand haha but some of the other shit is wtf,0.8495963,1,0,0,1
As I said give it a week to settle hopefully If it s any consolation which it probably isn t I ve wasted almost days this week trying to deal with this shit ,0.9017895,1,0,0,1
the joke a while back I was accused by a troll of taking his money and not giving him the tutoring we d agreed on except that s ridiculous I hadn t ever taken any money from ANYONE for tutoring let along this random guy he cam,0.7703865,1,1,0,0
ok quick question lol stupid one i know since im sure i simply overlooked it ,0.80015624,1,1,0,0
Windows is junk and any company that uses windows for workstations are idiots and obviously don u t understand the higher long term IT costs on infrastructure and maintainance of running windows All they see is the initial cost is lower then a mac and once they are locked into windows making the switch cost to much to budget If you don u t want to run mac then run various versions of linux and unix Then again important softeware doesn u t run on that so your back to windows and mac It u s a terriable neverending loop of corprate stupidity that keeps windows alive That cheep crap ,0.8795787,1,1,0,0
and stop linting my shit please,0.9481593,1,0,0,1
It s the branches I forget I get halfway through fucking something up turn realise I m still on the master branch ,0.7450797,1,0,0,1
White has to be astoundingly stupid ,0.8606264,1,1,0,0
shit lol,0.93238884,1,0,0,1
You are not an idiot at all,0.84915614,1,1,0,0
Somethings are my fault I guess but some is just WP being shitty,0.8606264,1,0,0,1
 years holy shit ,0.93954927,1,0,0,1
How is everyone this gay evening ,0.8355208,1,0,0,1
oh look there s no questions in my mind that nigger is a racist insult and as such I d never use it as an insult or even as a joke insult,0.8396988,1,1,1,0
It s just chrome fucking up probably Firefox is fine,0.86187613,1,0,0,1
I m pulling in a rd party stylesheet and js file via jspm eg n n n my style my git my style n my js my git my js n nSo far so good nHowever I now need to reference them in the head of my page Should be no problem just do n n link rel stylesheet href jspm packages my git my style dist css style css n script src jspm packages my git my js dist js my js js script n nBut bastard I have hard coded version numbers in the paths Anyone have any idea how to get around that nightmare ,0.72498274,1,1,0,0
What the hell did you link ,0.7093121,1,1,0,0
shit I used a Visitor and visitAnnotation to highlight annotations,0.8494833,1,0,0,1
 u f u u e u u u u u d u u u c u u u e u u u d u a u u u f u c u d u u e u u u u u u u e u u d u e u u e u html u u u e u f u e u u u u u e n n u u e u e u u c u u u u f u u u u e u u u u e u u u u c trollface n u u b u d u u f u e u b u u u u u c html u u u u u shallowRender,0.916842,1,1,0,0
Perhaps though and I could be talking out of my ass if you re testing a method that requires the same mocks in multiple examples your method does too much ,0.9152238,1,0,0,1
Heh n java ncaseTPEnvironnement type n TODO one day really implement this concept of merging two type environments n let env type environment typeEnvironment n if type environment typeEnvironment n console log FUCK n return getTypeSignature type type env options selfReflect n n ,0.84815633,1,0,0,1
yeah might as well seems like once the shit hits the fan not much you can do about it,0.80014145,1,0,0,1
hah yes no maybe I m fucked up ignore me n walks away ,0.9156528,1,0,0,1
Oh crap I m an idiot I just spotted my bug acquiring binding engine in my constructor after the function that uses needs it Thanks for your help ,0.8787085,1,1,0,0
what the fucking fuck are we going to do about this shitty home brew build nazi ,0.9877076,1,0,1,1
ok u now I know this may be protected by copyright and you don u t want to divulge this information u but u how the hell do you guys do this https live ether camp account b ca c bdf f a a c D,0.7687789,1,1,0,0
personnaly I don u t give a shit,0.95041376,1,0,0,1
I m sucks at doing that D,0.7508351,1,0,0,1
And then you get all the shit of trying to find this extra file when all you have is a loaded class somewhere in your classloader chain,0.9480856,1,0,0,1
If you re really short on money and don t plan to run any computation intensive calculations any laptop that s not utter crap should suffice tbh,0.76887697,1,1,0,0
so fuck elementary OS they can go to hell,0.95932144,1,1,0,1
oh shit i am getting Uncaught TypeError Multiple defines for anonymous module http localhost jspm packages github DmitryBaranovskiy raphael raphael js now,0.8785311,1,0,0,1
Thanks kinda sucks clicking through each repro ,0.7093121,1,0,0,1
this is also the reason why i n solutions tend to suck,0.8060606,1,0,0,1
Sorry years of Angular development will make you do stupid things every once and a while hahaha ,0.7062958,1,1,0,0
Oh my fucking god Please read a research article on anything other than a mammal for once,0.89587045,1,0,0,1
less shitty example invokedynamic perhaps wasn u t that added only for other languages ,0.8606264,1,0,0,1
that sucks wish I could run my test across more than one device lol,0.7124586,1,0,0,1
that way this shit is isolated from the regular inner workings of Type ,0.87589157,1,0,0,1
even if part of said framework sucks ,0.8355208,1,0,0,1
holy crap that is annoying,0.8717581,1,1,0,0
you can imagine how shitty this is on webpack,0.8785311,1,0,0,1
please stop addings bugs seriously that s enough I ve had it with that attitude WTF do that again and you will steal my job That s MY job adding bugs please respect your colleagues and stop stealing my job,0.7093121,1,0,0,1
i need to refine my notifications right now in this damn todo thing it s sortable based on permissions so if you re a lonely designer with a todo list your art director can re order the list to set priority right now i m using Twillio to send an SMS if any of the top items are re ordered and if i can get around to it use AWS to send a push message as well for those who activate it It s a pain in the ass for essentially is like any other todo out there,0.8355208,1,1,0,1
branches are a total fucking pain when you have huge commits full of hundreds of changes,0.8595835,1,0,0,1
